complaint_text,complainant,accused
A complaint has been registered by Smt. Sunita Gupta against Traffic Police Officer for misconduct.,Smt. Sunita Gupta,Traffic Police Officer
Smt. Sunita Gupta raised concerns regarding behaviour of Zonal Commissioner.,Smt. Sunita Gupta,Zonal Commissioner
Shri Rajesh Jain raised concerns regarding behaviour of District Magistrate.,Shri Rajesh Jain,District Magistrate
Editor of The Daily News raised concerns regarding behaviour of Government Official.,Editor of The Daily News,Government Official
Journalists Association of Delhi has accused Local MLA of unlawful conduct.,Journalists Association of Delhi,Local MLA
Press Club of India filed a report against Political Party Worker citing threats and intimidation.,Press Club of India,Political Party Worker
Suo-Motu cognizance with regard to an incident involving Block Development Officer and Smt. Sunita Gupta.,Smt. Sunita Gupta,Block Development Officer
A complaint has been registered by Shri Aman Verma against Zonal Commissioner for misconduct.,Shri Aman Verma,Zonal Commissioner
Ms. Neha Dubey filed a report against District Magistrate citing threats and intimidation.,Ms. Neha Dubey,District Magistrate
Complaint submitted by Journalists Association of Delhi alleging harassment by Rajkot Collector.,Journalists Association of Delhi,Rajkot Collector
A complaint has been registered by Smt. Rekha Singh against State Education Minister for misconduct.,Smt. Rekha Singh,State Education Minister
Suo-Motu cognizance with regard to Ranchi SP allegedly attacking Ms. Priya Sharma.,Ms. Priya Sharma,Ranchi SP
Suo-Motu cognizance with regard to Zonal Commissioner allegedly attacking Media Council of India.,Media Council of India,Zonal Commissioner
Smt. Sunita Gupta lodged a complaint against Traffic Police Officer with the authorities.,Smt. Sunita Gupta,Traffic Police Officer
Editor of The Daily News raised concerns regarding behaviour of Delhi Police.,Editor of The Daily News,Delhi Police
Complaint submitted by Mr. Arvind Yadav alleging harassment by Inspector General.,Mr. Arvind Yadav,Inspector General
Complaint submitted by Shri Rajesh Jain alleging harassment by Police Constable.,Shri Rajesh Jain,Police Constable
Complaint filed by Editor of The Daily News against State Education Minister for abuse of power.,Editor of The Daily News,State Education Minister
Complaint submitted by Smt. Sunita Gupta alleging harassment by Delhi Police.,Smt. Sunita Gupta,Delhi Police
Smt. Sunita Gupta lodged a complaint against Zonal Commissioner with the authorities.,Smt. Sunita Gupta,Zonal Commissioner
Mr. Rahul Tiwari raised concerns regarding behaviour of State Education Minister.,Mr. Rahul Tiwari,State Education Minister
A complaint has been registered by Smt. Sunita Gupta against Block Development Officer for misconduct.,Smt. Sunita Gupta,Block Development Officer
Editor of The Daily News lodged a complaint against Zonal Commissioner with the authorities.,Editor of The Daily News,Zonal Commissioner
Suo-Motu cognizance with regard to Tehsildar allegedly bribing Shri Rajesh Jain for media coverage.,Shri Rajesh Jain,Tehsildar
Formal complaint by Smt. Rekha Singh accusing Government Official of corruption.,Smt. Rekha Singh,Government Official
Journalists Association of Delhi raised concerns regarding behaviour of Media House Owner.,Journalists Association of Delhi,Media House Owner
A complaint has been registered by Mr. Arvind Yadav against Government Official for misconduct.,Mr. Arvind Yadav,Government Official
Suo-Motu cognizance with regard to Traffic Police Officer allegedly attacking Ms. Neha Dubey.,Ms. Neha Dubey,Traffic Police Officer
Formal complaint by Media Council of India accusing Ranchi SP of corruption.,Media Council of India,Ranchi SP
Formal complaint by Ms. Neha Dubey accusing Delhi Police of corruption.,Ms. Neha Dubey,Delhi Police
Complaint submitted by Ms. Priya Sharma alleging harassment by Police Constable.,Ms. Priya Sharma,Police Constable
Journalists Association of Delhi raised concerns regarding behaviour of Local MLA.,Journalists Association of Delhi,Local MLA
"According to Press Club of India, State Education Minister obstructed journalistic activities.",Press Club of India,State Education Minister
"According to Shri Rajesh Jain, District Magistrate obstructed journalistic activities.",Shri Rajesh Jain,District Magistrate
Media Council of India has accused Traffic Police Officer of unlawful conduct.,Media Council of India,Traffic Police Officer
A complaint has been registered by Media Council of India against State Education Minister for misconduct.,Media Council of India,State Education Minister
Smt. Rekha Singh has accused Local MLA of unlawful conduct.,Smt. Rekha Singh,Local MLA
Smt. Rekha Singh filed a report against Zonal Commissioner citing threats and intimidation.,Smt. Rekha Singh,Zonal Commissioner
Formal complaint by Editor of The Daily News accusing Rajkot Collector of corruption.,Editor of The Daily News,Rajkot Collector
Ms. Neha Dubey filed a report against Traffic Police Officer citing threats and intimidation.,Ms. Neha Dubey,Traffic Police Officer
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Press Club of India during coverage of an event.,Press Club of India,Political Party Worker
Formal complaint by Smt. Sunita Gupta accusing District Magistrate of corruption.,Smt. Sunita Gupta,District Magistrate
Complaint submitted by Shri Rajesh Jain alleging harassment by District Magistrate.,Shri Rajesh Jain,District Magistrate
Smt. Rekha Singh lodged a complaint against District Magistrate with the authorities.,Smt. Rekha Singh,District Magistrate
Suo-Motu cognizance with regard to Local MLA allegedly harassing Shri Aman Verma during coverage of an event.,Shri Aman Verma,Local MLA
A complaint has been registered by Advocate Rakesh Kumar against Police Constable for misconduct.,Advocate Rakesh Kumar,Police Constable
"According to National Human Rights Commission, Rajkot Collector obstructed journalistic activities.",National Human Rights Commission,Rajkot Collector
Complaint submitted by Smt. Rekha Singh alleging harassment by Government Official.,Smt. Rekha Singh,Government Official
Suo-Motu cognizance with regard to Delhi Police allegedly harassing Editor of The Daily News during coverage of an event.,Editor of The Daily News,Delhi Police
Shri Rajesh Jain filed a report against Local MLA citing threats and intimidation.,Shri Rajesh Jain,Local MLA
Journalists Association of Delhi filed a report against Block Development Officer citing threats and intimidation.,Journalists Association of Delhi,Block Development Officer
Shri Aman Verma has accused Block Development Officer of unlawful conduct.,Shri Aman Verma,Block Development Officer
A complaint has been registered by Shri Aman Verma against Ranchi SP for misconduct.,Shri Aman Verma,Ranchi SP
"According to Journalists Association of Delhi, Block Development Officer obstructed journalistic activities.",Journalists Association of Delhi,Block Development Officer
Suo-Motu cognizance with regard to Media House Owner allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,Media House Owner
Complaint filed by Media Council of India against Government Official for abuse of power.,Media Council of India,Government Official
Formal complaint by Smt. Rekha Singh accusing District Magistrate of corruption.,Smt. Rekha Singh,District Magistrate
A complaint has been registered by Smt. Rekha Singh against State Education Minister for misconduct.,Smt. Rekha Singh,State Education Minister
Mr. Arvind Yadav has accused Tehsildar of unlawful conduct.,Mr. Arvind Yadav,Tehsildar
"According to Shri Rajesh Jain, Media House Owner obstructed journalistic activities.",Shri Rajesh Jain,Media House Owner
Press Club of India has accused Tehsildar of unlawful conduct.,Press Club of India,Tehsildar
Formal complaint by Press Club of India accusing Media House Owner of corruption.,Press Club of India,Media House Owner
Shri Aman Verma lodged a complaint against Traffic Police Officer with the authorities.,Shri Aman Verma,Traffic Police Officer
Complaint filed by Shri Aman Verma against Ranchi SP for abuse of power.,Shri Aman Verma,Ranchi SP
A complaint has been registered by Mr. Rahul Tiwari against Traffic Police Officer for misconduct.,Mr. Rahul Tiwari,Traffic Police Officer
Complaint filed by Smt. Rekha Singh against Local MLA for abuse of power.,Smt. Rekha Singh,Local MLA
Complaint submitted by Smt. Rekha Singh alleging harassment by Political Party Worker.,Smt. Rekha Singh,Political Party Worker
Smt. Rekha Singh filed a report against State Education Minister citing threats and intimidation.,Smt. Rekha Singh,State Education Minister
Suo-Motu cognizance with regard to an incident involving Zonal Commissioner and Smt. Rekha Singh.,Smt. Rekha Singh,Zonal Commissioner
Ms. Priya Sharma has accused State Education Minister of unlawful conduct.,Ms. Priya Sharma,State Education Minister
A complaint has been registered by Ms. Neha Dubey against Media House Owner for misconduct.,Ms. Neha Dubey,Media House Owner
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Local MLA.,Mr. Rahul Tiwari,Local MLA
Complaint submitted by Ms. Priya Sharma alleging harassment by Traffic Police Officer.,Ms. Priya Sharma,Traffic Police Officer
A complaint has been registered by Mr. Arvind Yadav against Zonal Commissioner for misconduct.,Mr. Arvind Yadav,Zonal Commissioner
Complaint submitted by Mr. Arvind Yadav alleging harassment by Police Constable.,Mr. Arvind Yadav,Police Constable
"According to Smt. Rekha Singh, Rajkot Collector obstructed journalistic activities.",Smt. Rekha Singh,Rajkot Collector
Ms. Priya Sharma filed a report against Tehsildar citing threats and intimidation.,Ms. Priya Sharma,Tehsildar
Advocate Rakesh Kumar lodged a complaint against Political Party Worker with the authorities.,Advocate Rakesh Kumar,Political Party Worker
National Human Rights Commission filed a report against Government Official citing threats and intimidation.,National Human Rights Commission,Government Official
Suo-Motu cognizance with regard to Ranchi SP allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,Ranchi SP
Suo-Motu cognizance of unlawful detention of Ms. Priya Sharma by Police Constable.,Ms. Priya Sharma,Police Constable
National Human Rights Commission has accused Delhi Police of unlawful conduct.,National Human Rights Commission,Delhi Police
Formal complaint by Ms. Neha Dubey accusing Media House Owner of corruption.,Ms. Neha Dubey,Media House Owner
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Ms. Neha Dubey during coverage of an event.,Ms. Neha Dubey,Political Party Worker
Press Club of India has accused Tehsildar of unlawful conduct.,Press Club of India,Tehsildar
Complaint filed by Press Club of India against Government Official for abuse of power.,Press Club of India,Government Official
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Mr. Arvind Yadav during coverage of an event.,Mr. Arvind Yadav,Political Party Worker
Shri Aman Verma raised concerns regarding behaviour of Block Development Officer.,Shri Aman Verma,Block Development Officer
A complaint has been registered by Shri Rajesh Jain against Police Constable for misconduct.,Shri Rajesh Jain,Police Constable
"According to Shri Aman Verma, Local MLA obstructed journalistic activities.",Shri Aman Verma,Local MLA
"According to Press Club of India, Traffic Police Officer obstructed journalistic activities.",Press Club of India,Traffic Police Officer
Formal complaint by Shri Rajesh Jain accusing Traffic Police Officer of corruption.,Shri Rajesh Jain,Traffic Police Officer
Shri Rajesh Jain has accused Rajkot Collector of unlawful conduct.,Shri Rajesh Jain,Rajkot Collector
Suo-Motu cognizance with regard to Block Development Officer allegedly attacking Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Block Development Officer
Smt. Rekha Singh has accused Inspector General of unlawful conduct.,Smt. Rekha Singh,Inspector General
"According to Shri Aman Verma, Local MLA obstructed journalistic activities.",Shri Aman Verma,Local MLA
National Human Rights Commission lodged a complaint against Police Constable with the authorities.,National Human Rights Commission,Police Constable
Suo-Motu cognizance with regard to an incident involving Inspector General and Ms. Neha Dubey.,Ms. Neha Dubey,Inspector General
Complaint submitted by Shri Rajesh Jain alleging harassment by Traffic Police Officer.,Shri Rajesh Jain,Traffic Police Officer
A complaint has been registered by Advocate Rakesh Kumar against Local MLA for misconduct.,Advocate Rakesh Kumar,Local MLA
Suo-Motu cognizance regarding misconduct by Delhi Police involving Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Delhi Police
"According to Press Club of India, State Education Minister obstructed journalistic activities.",Press Club of India,State Education Minister
A complaint has been registered by Advocate Rakesh Kumar against Ranchi SP for misconduct.,Advocate Rakesh Kumar,Ranchi SP
Formal complaint by Smt. Rekha Singh accusing Local MLA of corruption.,Smt. Rekha Singh,Local MLA
Suo-Motu cognizance with regard to Tehsildar allegedly bribing Media Council of India for media coverage.,Media Council of India,Tehsildar
Complaint submitted by Smt. Rekha Singh alleging harassment by Block Development Officer.,Smt. Rekha Singh,Block Development Officer
Suo-Motu cognizance of unlawful detention of Journalists Association of Delhi by District Magistrate.,Journalists Association of Delhi,District Magistrate
Complaint submitted by Shri Rajesh Jain alleging harassment by Traffic Police Officer.,Shri Rajesh Jain,Traffic Police Officer
Ms. Priya Sharma raised concerns regarding behaviour of Tehsildar.,Ms. Priya Sharma,Tehsildar
Complaint filed by Smt. Sunita Gupta against Political Party Worker for abuse of power.,Smt. Sunita Gupta,Political Party Worker
National Human Rights Commission lodged a complaint against Zonal Commissioner with the authorities.,National Human Rights Commission,Zonal Commissioner
Complaint submitted by Editor of The Daily News alleging harassment by District Magistrate.,Editor of The Daily News,District Magistrate
Press Club of India filed a report against Ranchi SP citing threats and intimidation.,Press Club of India,Ranchi SP
Suo-Motu cognizance regarding misconduct by Ranchi SP involving Smt. Sunita Gupta.,Smt. Sunita Gupta,Ranchi SP
Suo-Motu cognizance with regard to Block Development Officer allegedly bribing Smt. Sunita Gupta for media coverage.,Smt. Sunita Gupta,Block Development Officer
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Press Club of India during coverage of an event.,Press Club of India,Political Party Worker
Media Council of India has accused Rajkot Collector of unlawful conduct.,Media Council of India,Rajkot Collector
A complaint has been registered by Press Club of India against State Education Minister for misconduct.,Press Club of India,State Education Minister
Suo-Motu cognizance with regard to an incident involving Police Constable and Shri Rajesh Jain.,Shri Rajesh Jain,Police Constable
Suo-Motu cognizance with regard to Political Party Worker allegedly bribing Mr. Rahul Tiwari for media coverage.,Mr. Rahul Tiwari,Political Party Worker
Formal complaint by Shri Rajesh Jain accusing Tehsildar of corruption.,Shri Rajesh Jain,Tehsildar
Editor of The Daily News has accused District Magistrate of unlawful conduct.,Editor of The Daily News,District Magistrate
Formal complaint by Editor of The Daily News accusing Local MLA of corruption.,Editor of The Daily News,Local MLA
Formal complaint by Ms. Priya Sharma accusing Zonal Commissioner of corruption.,Ms. Priya Sharma,Zonal Commissioner
Shri Aman Verma has accused Ranchi SP of unlawful conduct.,Shri Aman Verma,Ranchi SP
"According to Shri Rajesh Jain, Zonal Commissioner obstructed journalistic activities.",Shri Rajesh Jain,Zonal Commissioner
"According to National Human Rights Commission, Block Development Officer obstructed journalistic activities.",National Human Rights Commission,Block Development Officer
Suo-Motu cognizance with regard to Local MLA allegedly attacking Shri Aman Verma.,Shri Aman Verma,Local MLA
Suo-Motu cognizance with regard to Political Party Worker allegedly attacking National Human Rights Commission.,National Human Rights Commission,Political Party Worker
Complaint filed by Advocate Rakesh Kumar against Government Official for abuse of power.,Advocate Rakesh Kumar,Government Official
Journalists Association of Delhi has accused Block Development Officer of unlawful conduct.,Journalists Association of Delhi,Block Development Officer
Formal complaint by Smt. Sunita Gupta accusing Inspector General of corruption.,Smt. Sunita Gupta,Inspector General
Shri Aman Verma lodged a complaint against District Magistrate with the authorities.,Shri Aman Verma,District Magistrate
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,Political Party Worker
Editor of The Daily News raised concerns regarding behaviour of Inspector General.,Editor of The Daily News,Inspector General
"According to Press Club of India, Delhi Police obstructed journalistic activities.",Press Club of India,Delhi Police
A complaint has been registered by Smt. Sunita Gupta against Zonal Commissioner for misconduct.,Smt. Sunita Gupta,Zonal Commissioner
Suo-Motu cognizance with regard to Delhi Police allegedly bribing Smt. Rekha Singh for media coverage.,Smt. Rekha Singh,Delhi Police
Shri Aman Verma filed a report against District Magistrate citing threats and intimidation.,Shri Aman Verma,District Magistrate
Press Club of India filed a report against District Magistrate citing threats and intimidation.,Press Club of India,District Magistrate
Suo-Motu cognizance regarding misconduct by State Education Minister involving Media Council of India.,Media Council of India,State Education Minister
Formal complaint by National Human Rights Commission accusing Police Constable of corruption.,National Human Rights Commission,Police Constable
A complaint has been registered by Ms. Priya Sharma against Inspector General for misconduct.,Ms. Priya Sharma,Inspector General
Suo-Motu cognizance with regard to Traffic Police Officer allegedly attacking Smt. Sunita Gupta.,Smt. Sunita Gupta,Traffic Police Officer
Complaint submitted by Ms. Priya Sharma alleging harassment by Police Constable.,Ms. Priya Sharma,Police Constable
Suo-Motu cognizance in the case of Zonal Commissioner allegedly threatening Mr. Arvind Yadav.,Mr. Arvind Yadav,Zonal Commissioner
Complaint submitted by Mr. Rahul Tiwari alleging harassment by Traffic Police Officer.,Mr. Rahul Tiwari,Traffic Police Officer
National Human Rights Commission lodged a complaint against State Education Minister with the authorities.,National Human Rights Commission,State Education Minister
Complaint submitted by Press Club of India alleging harassment by Rajkot Collector.,Press Club of India,Rajkot Collector
Editor of The Daily News raised concerns regarding behaviour of Block Development Officer.,Editor of The Daily News,Block Development Officer
Complaint submitted by Shri Rajesh Jain alleging harassment by Political Party Worker.,Shri Rajesh Jain,Political Party Worker
"According to Shri Aman Verma, Zonal Commissioner obstructed journalistic activities.",Shri Aman Verma,Zonal Commissioner
Suo-Motu cognizance with regard to Political Party Worker allegedly harassing Mr. Arvind Yadav during coverage of an event.,Mr. Arvind Yadav,Political Party Worker
Suo-Motu cognizance with regard to Traffic Police Officer allegedly bribing Ms. Neha Dubey for media coverage.,Ms. Neha Dubey,Traffic Police Officer
Formal complaint by Shri Rajesh Jain accusing Zonal Commissioner of corruption.,Shri Rajesh Jain,Zonal Commissioner
Journalists Association of Delhi has accused State Education Minister of unlawful conduct.,Journalists Association of Delhi,State Education Minister
Mr. Rahul Tiwari lodged a complaint against Delhi Police with the authorities.,Mr. Rahul Tiwari,Delhi Police
"According to Ms. Neha Dubey, Media House Owner obstructed journalistic activities.",Ms. Neha Dubey,Media House Owner
Smt. Sunita Gupta raised concerns regarding behaviour of Tehsildar.,Smt. Sunita Gupta,Tehsildar
Formal complaint by Press Club of India accusing Delhi Police of corruption.,Press Club of India,Delhi Police
Media Council of India has accused District Magistrate of unlawful conduct.,Media Council of India,District Magistrate
Complaint filed by Advocate Rakesh Kumar against Delhi Police for abuse of power.,Advocate Rakesh Kumar,Delhi Police
Ms. Neha Dubey lodged a complaint against Media House Owner with the authorities.,Ms. Neha Dubey,Media House Owner
A complaint has been registered by Smt. Rekha Singh against Police Constable for misconduct.,Smt. Rekha Singh,Police Constable
Complaint submitted by Journalists Association of Delhi alleging harassment by Zonal Commissioner.,Journalists Association of Delhi,Zonal Commissioner
Suo-Motu cognizance with regard to an incident involving State Education Minister and Press Club of India.,Press Club of India,State Education Minister
"According to Advocate Rakesh Kumar, State Education Minister obstructed journalistic activities.",Advocate Rakesh Kumar,State Education Minister
Suo-Motu cognizance regarding misconduct by Police Constable involving National Human Rights Commission.,National Human Rights Commission,Police Constable
Editor of The Daily News filed a report against Media House Owner citing threats and intimidation.,Editor of The Daily News,Media House Owner
Ms. Neha Dubey has accused State Education Minister of unlawful conduct.,Ms. Neha Dubey,State Education Minister
"According to Ms. Priya Sharma, Police Constable obstructed journalistic activities.",Ms. Priya Sharma,Police Constable
Suo-Motu cognizance with regard to Delhi Police allegedly harassing Media Council of India during coverage of an event.,Media Council of India,Delhi Police
Complaint filed by Journalists Association of Delhi against Traffic Police Officer for abuse of power.,Journalists Association of Delhi,Traffic Police Officer
Suo-Motu cognizance with regard to Traffic Police Officer allegedly harassing Shri Aman Verma during coverage of an event.,Shri Aman Verma,Traffic Police Officer
"According to Mr. Arvind Yadav, District Magistrate obstructed journalistic activities.",Mr. Arvind Yadav,District Magistrate
Suo-Motu cognizance with regard to Zonal Commissioner allegedly bribing Editor of The Daily News for media coverage.,Editor of The Daily News,Zonal Commissioner
Suo-Motu cognizance with regard to Media House Owner allegedly harassing Media Council of India during coverage of an event.,Media Council of India,Media House Owner
Complaint submitted by National Human Rights Commission alleging harassment by Zonal Commissioner.,National Human Rights Commission,Zonal Commissioner
Complaint submitted by National Human Rights Commission alleging harassment by Ranchi SP.,National Human Rights Commission,Ranchi SP
Smt. Sunita Gupta raised concerns regarding behaviour of Local MLA.,Smt. Sunita Gupta,Local MLA
Shri Aman Verma filed a report against Local MLA citing threats and intimidation.,Shri Aman Verma,Local MLA
Suo-Motu cognizance with regard to Media House Owner allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,Media House Owner
Suo-Motu cognizance with regard to an incident involving Tehsildar and Smt. Sunita Gupta.,Smt. Sunita Gupta,Tehsildar
Formal complaint by Smt. Sunita Gupta accusing Rajkot Collector of corruption.,Smt. Sunita Gupta,Rajkot Collector
Suo-Motu cognizance with regard to Rajkot Collector allegedly harassing Mr. Rahul Tiwari during coverage of an event.,Mr. Rahul Tiwari,Rajkot Collector
Complaint submitted by Journalists Association of Delhi alleging harassment by Media House Owner.,Journalists Association of Delhi,Media House Owner
Smt. Sunita Gupta lodged a complaint against Inspector General with the authorities.,Smt. Sunita Gupta,Inspector General
Complaint submitted by Ms. Neha Dubey alleging harassment by Government Official.,Ms. Neha Dubey,Government Official
Ms. Priya Sharma filed a report against Delhi Police citing threats and intimidation.,Ms. Priya Sharma,Delhi Police
Editor of The Daily News lodged a complaint against Traffic Police Officer with the authorities.,Editor of The Daily News,Traffic Police Officer
Complaint submitted by Shri Rajesh Jain alleging harassment by Political Party Worker.,Shri Rajesh Jain,Political Party Worker
"According to Mr. Arvind Yadav, State Education Minister obstructed journalistic activities.",Mr. Arvind Yadav,State Education Minister
A complaint has been registered by Mr. Rahul Tiwari against Local MLA for misconduct.,Mr. Rahul Tiwari,Local MLA
Formal complaint by Shri Rajesh Jain accusing State Education Minister of corruption.,Shri Rajesh Jain,State Education Minister
Suo-Motu cognizance with regard to Government Official allegedly attacking Ms. Neha Dubey.,Ms. Neha Dubey,Government Official
Suo-Motu cognizance with regard to Inspector General allegedly harassing Journalists Association of Delhi during coverage of an event.,Journalists Association of Delhi,Inspector General
Suo-Motu cognizance with regard to an incident involving Government Official and Ms. Neha Dubey.,Ms. Neha Dubey,Government Official
Complaint filed by Shri Aman Verma against Traffic Police Officer for abuse of power.,Shri Aman Verma,Traffic Police Officer
Shri Aman Verma lodged a complaint against Police Constable with the authorities.,Shri Aman Verma,Police Constable
Shri Rajesh Jain lodged a complaint against Political Party Worker with the authorities.,Shri Rajesh Jain,Political Party Worker
Media Council of India raised concerns regarding behaviour of District Magistrate.,Media Council of India,District Magistrate
Complaint filed by Shri Rajesh Jain against Block Development Officer for abuse of power.,Shri Rajesh Jain,Block Development Officer
Shri Rajesh Jain lodged a complaint against District Magistrate with the authorities.,Shri Rajesh Jain,District Magistrate
Formal complaint by Editor of The Daily News accusing Traffic Police Officer of corruption.,Editor of The Daily News,Traffic Police Officer
Formal complaint by Editor of The Daily News accusing Traffic Police Officer of corruption.,Editor of The Daily News,Traffic Police Officer
Editor of The Daily News raised concerns regarding behaviour of Political Party Worker.,Editor of The Daily News,Political Party Worker
Press Club of India raised concerns regarding behaviour of Government Official.,Press Club of India,Government Official
Complaint submitted by National Human Rights Commission alleging harassment by Traffic Police Officer.,National Human Rights Commission,Traffic Police Officer
Media Council of India has accused Traffic Police Officer of unlawful conduct.,Media Council of India,Traffic Police Officer
Journalists Association of Delhi raised concerns regarding behaviour of Zonal Commissioner.,Journalists Association of Delhi,Zonal Commissioner
Formal complaint by National Human Rights Commission accusing Zonal Commissioner of corruption.,National Human Rights Commission,Zonal Commissioner
Suo-Motu cognizance with regard to Local MLA allegedly harassing Shri Rajesh Jain during coverage of an event.,Shri Rajesh Jain,Local MLA
Complaint filed by Editor of The Daily News against Police Constable for abuse of power.,Editor of The Daily News,Police Constable
Ms. Priya Sharma filed a report against Police Constable citing threats and intimidation.,Ms. Priya Sharma,Police Constable
Mr. Arvind Yadav lodged a complaint against Rajkot Collector with the authorities.,Mr. Arvind Yadav,Rajkot Collector
Suo-Motu cognizance of unlawful detention of Shri Rajesh Jain by Local MLA.,Shri Rajesh Jain,Local MLA
Ms. Neha Dubey raised concerns regarding behaviour of Government Official.,Ms. Neha Dubey,Government Official
Complaint filed by Smt. Sunita Gupta against Rajkot Collector for abuse of power.,Smt. Sunita Gupta,Rajkot Collector
Smt. Sunita Gupta raised concerns regarding behaviour of District Magistrate.,Smt. Sunita Gupta,District Magistrate
Mr. Rahul Tiwari lodged a complaint against District Magistrate with the authorities.,Mr. Rahul Tiwari,District Magistrate
Formal complaint by Press Club of India accusing Political Party Worker of corruption.,Press Club of India,Political Party Worker
Mr. Arvind Yadav has accused Block Development Officer of unlawful conduct.,Mr. Arvind Yadav,Block Development Officer
"According to Mr. Rahul Tiwari, Traffic Police Officer obstructed journalistic activities.",Mr. Rahul Tiwari,Traffic Police Officer
A complaint has been registered by Mr. Rahul Tiwari against Local MLA for misconduct.,Mr. Rahul Tiwari,Local MLA
